No. Resp,1. Menjadi marah karena hal-hal kecil/sepele ,6. Cenderung bereaksi berlebihan pada situasi ,8. Kesulitan untuk relaksasi/bersantai ,11. Mudah merasa kesal ,12. Merasa banyak menghabiskan energi karena cemas ,14. Tidak sabaran ,18. Ketakutan tanpa alasan yang jelas ,22. Tidak dapat menikmati hal-hal yang saya lakukan ,27. Kesulitan untuk tenang setelah sesuatu yang mengganggu ,29. Sulit untuk antusias pada banyak hal ,32. Merasa tidak berharga ,33. Tidak dapat memaklumi hal apapun yang menghalangi anda untuk menyelesaikan hal yang sedang Anda lakukan ,35. Tidak ada harapan untuk masa depan ,39. Anda Sering Gemetar (bukan karena penyakit fisik),Skor stress,Keterangan
1,1,1,1,1,2,2,3,1,3,1,1,2,1,1,21,Sedang
2,1,0,1,0,1,0,0,0,0,1,1,0,0,0,5,Normal
3,3,3,3,3,3,3,3,3,3,3,0,2,0,3,35,Sangat Parah
4,1,1,2,1,2,2,0,0,1,1,1,2,0,0,14,Sedang
5,1,2,2,2,3,1,3,1,2,0,1,1,2,2,23,Sedang
6,0,0,1,0,1,1,2,1,0,0,1,0,0,0,7,Normal
7,1,2,1,2,0,1,0,2,1,1,1,1,2,0,15,Sedang
8,1,0,0,0,0,0,0,3,1,0,0,0,0,0,5,Normal
9,0,1,1,0,3,3,0,1,2,0,0,2,0,1,14,Sedang
10,1,1,0,1,2,0,1,2,1,0,0,1,0,0,10,Ringan
11,1,1,2,1,2,2,2,1,1,1,2,1,0,1,18,Sedang
12,2,2,2,2,3,2,3,3,3,2,3,2,2,1,32,Parah
13,1,1,0,1,0,2,0,0,0,1,1,0,2,0,9,Normal
14,0,1,1,0,2,1,1,1,2,3,2,1,1,0,16,Sedang
15,1,1,0,0,1,0,2,0,1,0,2,0,0,0,8,Normal
16,1,1,2,1,2,1,3,3,2,1,1,2,1,1,22,Sedang
17,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,Normal
18,0,0,1,1,2,0,1,3,1,2,2,0,1,0,14,Sedang
19,0,0,0,1,1,1,1,0,1,0,2,0,0,1,8,Normal
20,1,1,1,2,2,1,0,1,1,1,2,1,0,0,14,Sedang
21,0,0,2,1,3,1,2,1,1,1,0,0,0,0,12,Ringan
22,1,1,0,2,3,2,1,0,2,1,0,0,0,0,13,Ringan
23,1,2,1,2,3,1,1,0,1,2,1,0,0,0,15,Sedang
24,1,1,1,1,3,3,3,1,1,1,1,1,1,0,19,Sedang
25,1,2,1,1,2,0,1,1,1,1,0,0,0,0,11,Ringan
26,1,1,2,2,3,1,3,2,3,1,2,1,2,1,25,Sedang
27,1,1,0,0,1,1,0,0,1,1,0,1,0,0,7,Normal
28,1,1,0,1,0,2,1,0,1,1,0,0,0,0,8,Normal
29,1,1,2,1,2,1,3,2,2,1,3,1,3,1,24,Sedang
30,1,2,2,2,3,2,2,3,2,2,2,3,3,2,31,Parah
31,2,2,1,1,3,3,1,1,1,1,1,1,0,0,18,Sedang
32,1,1,1,0,2,1,1,1,1,1,0,1,0,0,11,Ringan
33,1,0,0,0,0,0,0,0,0,2,1,0,0,0,4,Normal
34,2,2,2,1,3,1,1,0,3,0,0,0,0,1,16,Sedang
35,1,1,0,1,0,1,0,0,0,1,0,0,0,0,5,Normal
36,2,3,1,2,3,3,2,0,2,0,1,1,0,1,21,Sedang
37,2,2,1,2,3,1,3,0,1,0,0,1,0,3,19,Sedang
38,1,1,0,1,2,2,0,0,3,1,0,0,0,0,11,Ringan
39,1,1,1,1,2,0,2,1,2,1,1,1,0,0,14,Sedang
40,0,2,3,0,3,2,3,3,1,3,0,1,2,0,23,Sedang
41,1,0,2,1,1,0,0,0,1,0,0,1,0,0,7,Normal
42,1,1,2,0,3,1,3,3,3,3,3,3,0,2,28,Parah
43,1,2,2,2,3,2,2,2,2,2,3,0,2,1,26,Parah
44,1,1,0,1,2,1,0,1,1,1,1,1,1,1,13,Ringan
45,0,0,2,0,0,1,0,1,0,2,0,0,0,0,6,Normal
46,0,0,3,1,3,3,0,1,3,1,0,0,0,0,15,Sedang
47,1,1,2,1,2,1,3,1,3,1,2,2,1,0,21,Sedang
48,0,0,2,3,2,1,1,1,1,0,1,2,2,0,16,Sedang
49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Normal
50,2,1,3,2,3,2,3,3,3,3,3,1,2,2,33,Parah
51,1,1,2,1,2,0,3,2,2,1,0,0,0,0,15,Sedang
52,1,1,1,3,3,1,2,1,1,3,0,1,0,0,18,Sedang
53,2,3,0,2,0,3,1,0,2,1,0,0,0,0,14,Sedang
54,1,1,3,2,3,2,3,2,3,2,2,1,2,1,28,Parah
55,1,1,0,0,1,1,1,2,1,1,1,1,1,0,12,Ringan
56,0,1,0,1,1,1,0,0,0,0,0,0,0,0,4,Normal
57,0,1,0,1,0,1,1,1,1,1,0,1,0,1,9,Normal
58,1,1,0,1,1,1,2,1,1,1,0,1,0,0,11,Ringan
59,1,1,2,1,2,1,0,0,0,2,0,1,0,0,11,Ringan
60,0,0,1,0,0,0,0,0,1,1,1,0,0,2,6,Normal
61,1,1,1,1,2,2,1,1,2,1,0,1,0,0,14,Sedang
62,1,1,1,1,2,2,2,1,0,0,0,0,0,0,11,Ringan
63,2,1,1,1,0,1,0,1,1,3,0,2,0,0,13,Ringan
64,1,1,0,1,0,1,0,0,2,0,0,0,0,0,6,Normal
65,0,1,2,1,3,1,3,0,1,0,0,1,1,1,15,Sedang
66,0,1,1,0,2,0,2,2,2,1,0,0,0,0,11,Ringan
67,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,Normal
68,1,1,2,1,2,1,3,1,2,2,0,1,0,1,18,Sedang
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
70,1,0,1,1,0,0,0,0,0,1,3,0,0,0,7,Normal
71,1,0,0,1,1,1,0,1,1,1,0,1,0,0,8,Normal
72,1,1,2,1,2,1,2,1,3,0,0,1,1,1,17,Sedang
73,1,1,3,2,3,2,3,3,3,2,1,1,0,0,25,Sedang
74,1,1,2,1,1,1,0,1,2,1,0,1,0,0,12,Ringan
75,1,1,0,1,0,0,1,0,0,0,0,0,0,0,4,Normal
76,1,0,1,1,1,0,1,0,0,1,1,1,1,0,9,Normal
77,2,1,2,2,3,2,3,1,2,2,0,2,1,1,24,Sedang
78,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,Normal
79,0,1,0,0,0,1,0,0,1,0,0,2,0,0,5,Normal
80,2,2,3,3,2,2,3,2,3,1,2,1,2,2,30,Parah
81,1,1,2,2,3,1,0,2,3,2,3,3,3,2,28,Parah
82,1,0,0,2,0,1,0,0,0,2,0,0,0,0,6,Normal
83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,Sedang
84,2,1,1,1,2,0,1,1,1,1,3,1,2,1,18,Sedang
85,2,1,1,0,0,2,0,1,1,0,1,1,0,0,10,Ringan
86,1,1,2,1,3,1,2,1,2,1,2,1,2,1,21,Sedang
87,1,1,1,1,2,0,2,1,3,1,1,0,0,1,15,Sedang
88,3,3,3,3,3,3,3,3,3,3,2,3,1,1,37,Sangat Parah
89,2,2,3,2,3,1,3,2,2,3,1,1,1,1,27,Parah
90,1,0,0,1,1,1,2,1,1,1,1,1,0,0,11,Ringan
91,2,1,1,1,2,0,3,0,0,1,0,0,0,2,13,Ringan
92,1,1,1,2,2,2,1,1,2,1,2,0,1,1,18,Sedang
93,2,1,3,3,3,3,3,3,3,3,3,3,3,3,39,Sangat Parah
94,2,1,2,2,3,1,2,1,3,2,1,2,1,0,23,Sedang
95,1,1,2,1,2,1,2,1,1,1,1,1,1,1,17,Sedang
96,1,2,2,1,3,1,3,1,2,3,1,1,0,0,21,Sedang
97,1,0,0,0,2,1,1,1,1,0,0,1,0,0,8,Normal
98,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,Normal
99,0,0,1,0,2,1,1,1,2,1,0,0,0,0,9,Normal
100,2,1,1,1,1,0,1,1,1,1,0,0,0,0,10,Ringan
101,1,2,1,1,3,2,2,1,3,3,3,2,3,0,27,Parah
102,1,1,1,0,0,0,0,0,0,0,0,1,0,0,4,Normal
103,0,1,0,0,0,1,1,1,1,0,1,1,0,2,9,Normal
104,1,1,1,1,2,0,1,1,1,1,0,0,0,0,10,Ringan
105,2,3,1,3,2,2,1,1,2,1,3,0,3,1,25,Sedang
106,1,0,1,1,1,1,1,1,1,1,0,1,0,2,12,Ringan
107,1,2,1,1,2,0,1,0,3,1,0,0,0,0,12,Ringan
108,1,0,1,2,2,1,2,1,1,2,1,1,1,0,16,Sedang
109,1,1,0,1,2,2,1,0,1,0,0,2,1,0,12,Ringan
110,0,0,2,1,2,0,1,1,1,2,0,0,0,0,10,Ringan
111,1,1,1,1,3,2,3,1,2,2,3,3,3,3,29,Parah
112,1,1,2,2,3,2,1,1,3,3,0,1,0,0,20,Sedang
113,1,1,1,1,1,1,1,1,2,1,0,1,0,0,12,Ringan
114,0,0,0,1,1,1,0,0,1,1,0,2,0,0,7,Normal
115,2,2,3,1,3,2,3,3,3,1,3,1,1,0,28,Parah
116,2,2,2,2,2,2,3,1,2,1,2,2,1,2,26,Parah
117,1,0,2,2,3,2,2,3,3,2,2,1,0,0,23,Sedang
118,1,1,2,1,3,1,2,2,1,0,1,0,0,0,15,Sedang
119,1,1,2,2,3,2,2,2,2,1,1,0,0,1,20,Sedang
120,3,2,3,2,2,2,2,2,1,2,2,2,1,0,26,Parah
121,0,0,1,0,1,1,0,1,2,0,0,0,0,0,6,Normal
122,1,1,0,0,2,1,2,1,1,0,0,0,1,0,10,Ringan
123,2,3,3,3,3,2,3,3,3,2,3,3,3,2,38,Sangat Parah
124,2,3,3,3,3,2,3,3,3,1,3,3,1,1,34,Sangat Parah
125,1,1,1,0,0,0,0,1,1,1,0,0,0,0,6,Normal
126,1,0,1,1,0,2,1,0,0,1,0,0,0,0,7,Normal
127,2,2,0,1,0,2,1,0,1,0,0,1,0,0,10,Ringan
128,2,1,3,1,2,1,0,1,1,3,1,1,0,1,18,Sedang
129,1,1,3,2,3,2,2,3,2,1,3,1,0,0,24,Sedang
130,1,1,2,1,2,3,2,2,3,1,0,3,0,0,21,Sedang
131,1,1,2,1,2,1,1,1,1,2,1,1,0,0,15,Sedang
132,1,1,3,1,3,0,3,2,3,2,3,1,1,1,25,Sedang
133,1,0,0,1,0,0,0,0,1,1,0,0,0,0,4,Normal
134,1,1,2,2,1,3,1,1,2,1,1,1,0,1,18,Sedang
135,1,1,1,0,2,1,2,2,2,2,1,1,1,1,18,Sedang
136,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3,Normal
137,1,0,2,1,2,1,1,1,1,1,1,1,0,0,13,Ringan
138,1,0,0,1,1,0,0,0,1,1,1,1,1,1,9,Normal
139,0,0,3,0,2,3,2,2,2,3,0,0,0,0,17,Sedang
140,0,0,1,0,2,0,1,0,1,0,0,0,0,0,5,Normal
141,1,1,2,1,2,1,2,2,2,1,0,0,0,0,15,Sedang
142,1,1,1,1,2,1,3,1,1,0,1,0,0,0,13,Ringan
143,1,2,3,1,3,3,1,2,2,1,0,0,0,0,19,Sedang
144,1,1,1,1,1,1,0,0,2,1,0,1,1,1,12,Ringan
145,1,1,2,1,1,0,0,0,1,1,1,0,1,0,10,Ringan
146,1,2,2,2,3,3,2,1,3,0,0,2,0,0,21,Sedang
147,1,1,1,1,2,1,1,1,1,1,0,1,0,0,12,Ringan
148,0,1,1,1,1,2,0,2,2,2,2,1,1,0,16,Sedang
149,0,0,1,1,1,1,0,0,2,0,0,1,0,0,7,Normal
150,1,0,0,1,0,0,1,1,2,0,0,1,0,0,7,Normal
